"","Country","YearMonth","Query1","Query2","Query3","Query4","Query5","Query6","Query7","Query8","Query9","Query10","Query11","Query12","Query13","Query14","Query15","Query16","Query17","Query18","Query19","Query20","Query21","Query22","Query23","Query24","Query25","Query26","Query27","Query28","Query29","Query30","Query31","Query32","Query33","Query34","Query35","Query36","Query37","Query38","Query39","Query40"
"210","IN",2014-08-01,"feminism meaning","feminist meaning","feminism definition","quotes on feminism","lesbian feminism","women against feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211","GB",2014-08-01,"women against feminism","sex positive feminism","feminism definition","what is feminism",NA,"everyday feminism","fourth wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","US",2014-09-01,NA,"feminism definition","emma watson feminism","emma watson","what is feminism","women against feminism","feminism quotes","emma watson feminism speech","black feminism","feminist definition","beyonce feminism","third wave feminism","radical feminism","white feminism","shailene woodley feminism","second wave feminism","shailene woodley","everyday feminism","anti feminism","intersectional feminism","modern feminism","feminism in america","first wave feminism","he for she","flawless lyrics","postmodern feminism","history of feminism","future feminism","patriarchy","feminism today","opposite of feminism","what is a feminist","quotes about feminism","womanism","sexism",NA,NA,NA,NA,NA
"213","CA",2014-09-01,"feminism definition","emma watson","emma watson feminism",NA,"women against feminism","what is feminism","feminist theory","third wave feminism","emma watson feminism speech","second wave feminism","modern feminism","intersectional feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","GB",2014-09-01,"feminism definition",NA,"emma watson","emma watson feminism","what is feminism","radical feminism","feminist definition","women against feminism","marxist feminism","beyonce feminism","modern feminism","second wave feminism","shailene woodley","shailene woodley feminism","liberal feminism","sex positive feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","US",2014-10-01,NA,"feminism definition","what is feminism","emma watson","emma watson feminism","feminist definition","feminism quotes","feminism video","feminism little girls","women against feminism","second wave feminism","beyonce","beyonce feminism","f bombs for feminism","third wave feminism","radical feminism","everyday feminism","anti feminism","intersectional feminism","shailene woodley","shailene woodley feminism","gone girl feminism","f bomb for feminism","aziz ansari feminism","fckh8 feminism","egalitarian","mary wollstonecraft","full frontal feminism","fourth wave feminism","he for she","f-bombs for feminism","feminist meaning","chimamanda ngozi adichie","gender equality","feminism meaning","misogyny",NA,NA,NA,NA
"216","CA",2014-10-01,"feminism definition","what is feminism","emma watson feminism",NA,"third wave feminism","intersectional feminism","women against feminism","shailene woodley feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","IN",2014-10-01,"feminism meaning","feminist meaning","what is feminism","feminism definition","lesbian feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","GB",2014-10-01,NA,"feminism definition","what is feminism","radical feminism","emma watson feminism","marxist feminism","sex positive feminism","feminist theory","feminism in london","feminism quotes","beyonce feminism","women against feminism","third wave feminism","feminism in london conference","feminist definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","US",2014-11-01,NA,"feminism definition","what is feminism","feminism quotes","feminist definition","emma watson","black feminism","emma watson feminism","women against feminism","second wave feminism","radical feminism","time feminism","modern feminism","third wave feminism","white feminism","everyday feminism","beyonce feminism","post feminism","intersectional feminism","robert downey jr feminism","waves of feminism","meninism","lipstick feminism","misogynistic","when did feminism start","is feminism still relevant","fourth wave feminism","marxism","bell hooks feminism is for everybody","robert downey jr","feminism today","sex positive feminism","feminism is for everybody","quotes about feminism","feminism meaning",NA,NA,NA,NA,NA
"220","CA",2014-11-01,"feminism definition",NA,"what is feminism","feminist definition","third wave feminism","first wave feminism","shailene woodley feminism","second wave feminism","women against feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","IN",2014-11-01,"feminism meaning","feminism in india","feminism definition","feminist meaning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","GB",2014-11-01,NA,"feminism definition","what is feminism","radical feminism","emma watson feminism","emma watson","marxist feminism","liberal feminism","third wave feminism","women against feminism","emma watson speech","feminist definition","robert downey jr feminism","sex positive feminism","shailene woodley","shailene woodley feminism","everyday feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","US",2014-12-01,NA,"feminism definition","what is feminism","feminism quotes","against feminism","third wave feminism","feminist definition","beyonce feminism","radical feminism","second wave feminism","emma watson feminism","emma watson","sex positive feminism","what is a feminist","women against feminism","feminist movement","anti feminism","everyday feminism","feminism meaning","first wave feminism","full frontal feminism","chicana feminism","kaley cuoco feminism","malala yousafzai","poems about feminism","why feminism is bad","waves of feminism","types of feminism","cultural feminism","egalitarianism","marxist feminism","emma watson speech","feminist theory","love joy feminism",NA,NA,NA,NA,NA,NA
"224","CA",2014-12-01,NA,"feminism definition","what is feminism","women against feminism","everyday feminism","radical feminism","feminist definition","emma watson feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","IN",2014-12-01,"feminist meaning","feminism meaning","feminism in india","lesbian feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226","GB",2014-12-01,NA,"feminism definition","what is feminism","radical feminism","second wave feminism","liberal feminism","emma watson feminism","marxist feminism","shailene woodley feminism","intersectional feminism","everyday feminism","third wave feminism","shailene woodley","sex positive feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227","AU",2014-02-01,"feminism definition","what is feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","AU",2014-05-01,"feminism definition","shailene woodley feminism",NA,"what is feminism","radical feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","AU",2014-06-01,"second wave feminism","feminism definition",NA,"third wave feminism","shailene woodley feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","AU",2014-07-01,"women against feminism","feminism definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","AU",2014-08-01,"women against feminism","feminism definition","what is feminism",NA,"radical feminism","shailene woodley feminism","third wave feminism","feminism in australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232","PH",2014-09-01,"feminism meaning","feminist meaning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","AU",2014-10-01,"what is feminism","feminism definition","women against feminism",NA,"second wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","PH",2014-11-01,"feminism meaning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","AU",2014-11-01,"feminism definition",NA,"women against feminism","julie bishop feminism","radical feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","US",2015-01-01,NA,"feminism definition","what is feminism","feminist definition","feminism quotes","radical feminism","history of feminism","everyday feminism","kaley cuoco","third wave feminism","women against feminism","emma watson","kaley cuoco feminism","emma watson feminism","second wave feminism","feminism today","what is a feminist","white feminism","sexism","misogyny","intersectional feminism","meninism","bruce jenner feminism","egalitarian","feminism in japan","meninist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","CA",2015-01-01,"what is feminism","feminism definition","feminism quotes",NA,"radical feminism","everyday feminism","women against feminism","feminist definition","kaley cuoco feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","IN",2015-01-01,"feminism meaning","feminist meaning","lesbian feminism","feminism in india","what is feminism","sex positive feminism","radical feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","GB",2015-01-01,"feminism definition","what is feminism",NA,"radical feminism","feminism quotes","emma watson feminism","intersectional feminism","feminist definition","everyday feminism","second wave feminism","first wave feminism","kaley cuoco feminism","sex positive feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","US",2015-02-01,NA,"feminism definition","what is feminism","feminist definition","feminism quotes","third wave feminism","black feminism","radical feminism","beyonce","beyonce feminism","everyday feminism","second wave feminism","liberal feminism","modern feminism","feminism meaning","intersectional feminism","feminism today","sexism","feminist theory","what is a feminist","emma watson feminism speech","betty friedan","lipstick feminism","beyonce feminism quote","amy poehler feminism","meninist definition","terf feminism","susan b anthony","waves of feminism","humanism","fourth wave feminism","full frontal feminism","50 shades of grey feminism","aziz ansari feminism","feminism is for everybody","chimamanda ngozi adichie",NA,NA,NA,NA
"241","CA",2015-02-01,NA,"feminism definition","radical feminism","feminism quotes","intersectional feminism","liberal feminism","everyday feminism","shailene woodley feminism","love joy feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","US",2015-03-01,NA,"feminism definition","what is feminism","feminism quotes","feminist definition","feminism history","black feminism","radical feminism","third wave feminism","beyonce feminism","beyonce","emma watson feminism","emma watson","anti feminism","everyday feminism","history of feminism","second wave feminism","modern feminism","first wave feminism","sexist","feminism is bullshit","why feminism is wrong","feminazi","cultural feminism","feminism in frankenstein","extreme feminism","shailene woodley feminism","shailene woodley","why feminism is bad","egalitarianism","quotes about feminism","anti feminist","opposite of feminism","what is a feminist","women against feminism","types of feminism","chimamanda ngozi adichie",NA,NA,NA
"243","CA",2015-03-01,NA,"feminism definition","what is feminism","radical feminism","women against feminism","everyday feminism","intersectional feminism","emma watson feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","IN",2015-03-01,NA,"feminism meaning","feminist meaning","feminism in india","lesbian feminism","feminism definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","GB",2015-03-01,"feminism definition","what is feminism",NA,"feminism quotes","second wave feminism","radical feminism","emma watson feminism","first wave feminism","liberal feminism","post feminism","third wave feminism","feminist definition","feminist quotes","marxism","marxist feminism","intersectional feminism","everyday feminism","women against feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","US",2015-04-01,NA,"what is feminism","feminism definition","feminism quotes","feminist definition","second wave feminism","feminism history","radical feminism","third wave feminism","black feminism","white feminism","everyday feminism","beyonce feminism","first wave feminism","anti feminism","emma watson feminism","history of feminism","modern feminism","what is a feminist","women against feminism","feminism meaning","liberal feminism","humanism","rape culture","terf feminism","postmodern feminism","when did feminism start","modern day feminism","kaley cuoco feminism","misandry","love joy feminism","types of feminism","meninist",NA,NA,NA,NA,NA,NA,NA
"247","CA",2015-04-01,"feminism definition","what is feminism","radical feminism",NA,"third wave feminism","second wave feminism","feminist definition","intersectional feminism","first wave feminism","everyday feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","GB",2015-04-01,"feminism definition","what is feminism","radical feminism",NA,"liberal feminism","second wave feminism","third wave feminism","first wave feminism","intersectional feminism","kaley cuoco feminism","emma watson feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","US",2015-05-01,"feminism definition",NA,"what is feminism","mad max","mad max feminism","feminism quotes","feminist definition","second wave feminism","feminism history","black feminism","anti feminism","mad max fury road feminism","mad max fury road","white feminism","everyday feminism","intersectional feminism","third wave feminism","modern feminism","first wave feminism","different types of feminism","feminism is bullshit","mark ruffalo feminism","counterculture","phyllis schlafly","arguments against feminism","sex positive feminism","poems about feminism","misogynistic","feminism in the 1960s","emma watson feminism speech","meninism","i need feminism because","types of feminism",NA,NA,NA,NA,NA,NA,NA
"250","CA",2015-05-01,"feminism definition","mad max feminism",NA,"intersectional feminism","second wave feminism","radical feminism","everyday feminism","mark ruffalo feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","IN",2015-05-01,"feminism meaning","feminism in india","feminism definition","what is feminism","feminist meaning","lesbian feminism","sex positive feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","GB",2015-05-01,NA,"feminism definition","what is feminism","mad max feminism","liberal feminism","radical feminism","emma watson feminism","mad max fury road feminism","marxist feminism","women against feminism","third wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","US",2015-06-01,NA,"feminism definition","what is feminism","feminist definition","everyday feminism","feminism quotes","intersectional feminism","mad max","third wave feminism","mad max feminism","anti feminism","radical feminism","second wave feminism","women against feminism","love joy feminism","first wave feminism","sex positive feminism","feminism is bullshit","i need feminism because","ladies against feminism","egalitarian definition","feminazi","feminism is for everybody","misogyny","quotes about feminism","mark ruffalo feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","CA",2015-06-01,"feminism definition","what is feminism",NA,"feminist definition","intersectional feminism","radical feminism","mark ruffalo feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","IN",2015-06-01,"feminism meaning","lesbian feminism","sex positive feminism","feminist meaning","feminism definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","GB",2015-06-01,"feminism definition","what is feminism",NA,"third wave feminism","everyday feminism","first wave feminism","mark ruffalo feminism","second wave feminism","mad max feminism","mad max fury road feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","US",2015-07-01,NA,"feminism definition","intersectional feminism","what is feminism","feminist definition","everyday feminism","white feminism","third wave feminism","black feminism","feminism meaning","egalitarian","love joy feminism","feminist quotes","radical feminism","women against feminism","feminism meme","misogyny","what is a feminist","lauren southern feminism","fourth wave feminism","humanism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","CA",2015-07-01,"feminism definition","everyday feminism","third wave feminism",NA,"love joy feminism","intersectional feminism","what is feminism","lesbian feminism","feminist definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259","IN",2015-07-01,"feminism meaning","feminist meaning","what is feminism","feminism in india","feminism definition","lesbian feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","GB",2015-07-01,"feminism definition","what is feminism","intersectional feminism","everyday feminism",NA,"radical feminism","third wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","US",2015-08-01,"feminism definition",NA,"what is feminism","white feminism","intersectional feminism","feminist definition","everyday feminism","third wave feminism","radical feminism","love joy feminism","anti feminism","second wave feminism","what is a feminist","liberal feminism","emma watson feminism","women against feminism","patriarchy","first wave feminism","meninist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","CA",2015-08-01,"feminism definition","everyday feminism","intersectional feminism","mark ruffalo feminism","feminist definition","third wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","GB",2015-08-01,"feminism definition",NA,"what is feminism","intersectional feminism","feminist definition","everyday feminism","radical feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","US",2015-09-01,NA,"feminism definition","what is feminism","intersectional feminism","feminist definition","everyday feminism","white feminism","third wave feminism","black feminism","liberal feminism","radical feminism","love joy feminism","feminism history","feminism today","anti feminism","what is a feminist","second wave feminism","first wave feminism","connie britton feminism","misogyny","mad max fury road feminism","why feminism is wrong","post feminism definition","feminism meaning","bell hooks","feminism is for everybody",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","CA",2015-09-01,"feminism definition","feminist definition","what is feminism",NA,"intersectional feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","IN",2015-09-01,"feminism definition","feminist meaning","feminism meaning","feminism in literature","liberal feminism","radical feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","GB",2015-09-01,"feminism definition","what is feminism","feminism sociology","liberal feminism",NA,"marxist feminism","marxism","radical feminism","intersectional feminism","everyday feminism","third wave feminism","feminism in london","white feminism","second wave feminism","feminism meaning","functionalism","emma watson feminism","feminist definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","US",2015-10-01,NA,"feminism definition","what is feminism","feminist definition","intersectional feminism","everyday feminism","feminism quotes","black feminism","white feminism","radical feminism","second wave feminism","third wave feminism","feminism history","liberal feminism","what is a feminist","anti feminism","feminist theory","feminist quotes","emma watson feminism","ladies against feminism","poems about feminism","why we need feminism","feminism meme","feminism is bad","egalitarian vs feminism","quotes about feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","CA",2015-10-01,"feminism definition",NA,"what is feminism","radical feminism","intersectional feminism","everyday feminism","white feminism","liberal feminism","feminist definition","second wave feminism","third wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","IN",2015-10-01,NA,"feminism meaning","feminist meaning","feminism definition","feminism in india","what is feminism","liberal feminism","feminine meaning","lesbian feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","GB",2015-10-01,"feminism definition","what is feminism",NA,"feminism in london","radical feminism","intersectional feminism","everyday feminism","second wave feminism","white feminism","third wave feminism","postmodernism","functionalism","first wave feminism","difference feminism","germaine greer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","US",2015-11-01,NA,"feminism definition","what is feminism","feminist definition","intersectional feminism","black feminism","feminism quotes","everyday feminism","third wave feminism","white feminism","second wave feminism","radical feminism","anti feminism","waves of feminism","modern feminism","first wave feminism","what is a feminist","feminism today","beyonce feminism","aziz ansari feminism","fourth wave feminism","i need feminism because","full frontal feminism","feminist movement","domestic feminism","sexist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","CA",2015-11-01,"feminism definition","what is feminism",NA,"radical feminism","third wave feminism","feminist theory","second wave feminism","love joy feminism","intersectional feminism","first wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","IN",2015-11-01,"feminism meaning",NA,"feminist meaning","feminism definition","liberal feminism","lesbian feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","GB",2015-11-01,NA,"feminism definition","what is feminism","liberal feminism","radical feminism","marxist feminism","everyday feminism","post feminism","intersectional feminism","second wave feminism","first wave feminism","third wave feminism","feminist definition","feminism in sociology","women against feminism","caitlin moran feminism smile","what is a feminist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","US",2015-12-01,NA,"feminism definition","what is feminism","feminist definition","feminism quotes","intersectional feminism","third wave feminism","everyday feminism","second wave feminism","white feminism","radical feminism","emma watson","black feminism","emma watson feminism","first wave feminism","star wars feminism","feminist quotes","feminism meaning","waves of feminism","rowan blanchard","egalitarianism","sex positive feminism","why do we need feminism","socialist feminism","meninism","advocacy","love joy feminism","meninist","patriarchy","gloria steinem",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","CA",2015-12-01,"feminism definition","everyday feminism","third wave feminism","second wave feminism","feminist definition","intersectional feminism","first wave feminism","love joy feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","IN",2015-12-01,"feminism meaning","feminist meaning","feminism definition","liberal feminism","lesbian feminism","feminism in india",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","GB",2015-12-01,"feminism definition","what is feminism",NA,"anti feminism","marxist feminism","radical feminism","everyday feminism","intersectional feminism","feminist definition","second wave feminism","liberal feminism","star wars feminism","third wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","AU",2015-01-01,"feminism definition","what is feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","AU",2015-03-01,NA,"feminism definition","what is feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","AU",2015-04-01,"feminism definition",NA,"what is feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","ZA",2015-04-01,"feminism definition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","PH",2015-05-01,"feminism meaning","feminism definition","feminist meaning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","AU",2015-05-01,"feminism definition",NA,"mad max feminism","mad max fury road feminism","what is feminism","third wave feminism","second wave feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","AU",2015-06-01,"feminism definition","what is feminism",NA,"mark ruffalo feminism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
